url, title,
http://drupal-bootstrap.org/api/bootstrap/8.x-3.x-dev, Drupal Bootstrap Documentation,,

https://www.drupal.org/coding-standards, Drupal Coding Standards,,
https://www.drupal.org/node/1886770, CSS Coding Standards,,
https://www.drupal.org/node/1354, API documentation and comment standards,,
https://www.drupal.org/node/928026, Using cTools Exportables to move changes through dev environments.,,

http://atendesigngroup.com/blog/making-sense-drupal-views-relationships-and-entity-references, Making Sense of Drupal Views Relationships and Entity References,,

https://api.drupal.org/api/examples/node_access_example%21node_access_example.module/7, node_access_example.module,,

https://www.ostraining.com, OS Training,,
https://www.drupalize.me, Drupalize.me,,
https://www.buildamodule.com, Build a Module,,
http://www.drupalshowcase.com,,
http://largescaledrupal.com,,

https://poeditor.com/, PO Editor,,

https://www.drupal.org/resource-guides/configuring-multilingual-site, Resource Guide: Configuring a Multilingual Site,,

https://www.drupal.org/irc, Drupal IRC Page,,
http://webchat.freenode.net, WebChat IRC in Browser,,

https://www.drupal.org/project/honeypot, Honeypot,,
https://www.drupal.org/project/smartcrop, Smart Crop,,
https://www.drupal.org/project/picture, Picture,,
https://www.drupal.org/project/flexslider, Flexslider,,
https://www.drupal.org/project/hybridauth, Hybrid Auth,,

https://www.drupal.org/project/panels_bootstrap_layout_builder, Panels Bootstrap Layout Builder,,

http://flexslider.woothemes.com/, FlexSlider,,

https://www.drupal.org/project/token_insert_entity, Token Insert Entity,,
https://www.lullabot.com/articles/module-monday-token-insert-entity, Module Monday: Token Insert Entity,,
https://www.drupal.org/project/node_embed, Node Embed,,
https://www.drupal.org/project/entity_embed, Entity Embed,,
https://www.drupal.org/project/shortcode, Shortcode,,
https://www.drupal.org/project/formatter_field, Formatter Field,,

http://d8.sqndr.com/, The Drupal 8 Theming Guide,,
https://youtu.be/uIutb2-Vc50, 119 The Classy Base Theme for Drupal 8 with Scott Reeves and David Hernandez - Modules Unraveled,,
https://groups.drupal.org/node/283223, Proposal: A Style Guide for Seven,,
http://www.smashingmagazine.com/2014/07/bem-methodology-for-small-projects/, Scaling Down The BEM Methodology For Small Projects,,
http://www.sitepoint.com/bem-smacss-advice-from-developers/, BEM and SMACSS: Advice From Developers Who’ve Been There,,
https://dev.acquia.com/blog/organize-your-styles-introduction-smacss, Organize Your Styles - An Introduction to SMACSS,,
https://www.drupal.org/node/1823416, Twig Coding Standards,,
https://www.commercialprogression.com/podcast/hooked-on-drupal, Commercial PRogression Drupal Podcast,,

http://git-scm.com/book/en/v2/Git-Basics-Working-with-Remotes, Working w/ Remotes,,
http://git-scm.com/book/en/v2/Git-Basics-Recording-Changes-to-the-Repository, Recording Changes to the Repository,,
http://git-scm.com/docs/git-fetch, git fetch,,
http://git-scm.com/docs/git-clean, git clean,,
http://git-scm.com/docs/git-revert, git revert,,

http://stackoverflow.com/questions/927358/how-do-you-undo-the-last-commit, How do you undo the last commit?,,
http://softwarecave.org/2014/03/03/git-how-to-resolve-merge-conflicts/, Resolve Merge Conflicts,,
http://alistapart.com/article/get-started-with-git, Getting Started w/ Git,,
http://stackoverflow.com/questions/315911/git-for-beginners-the-definitive-practical-guide#, Git for Beginners - The Definitive Practical Guide,,
http://git-scm.com/book/en/v2/Getting-Started-First-Time-Git-Setup, 1st Time Git Setup,,
http://wiki.dreamhost.com/Git, Git on Dreamhost,,


http://html5doctor.com/the-figure-figcaption-elements/, Using Figure and Figcaption,,
http://html5doctor.com/you-can-still-use-div/, You can still use div,,
http://www.greenlaneseo.com/blog/2015/02/seo-101-seo-and-multiple-h1-tags/, SEO and Multiple H1 Tags,,

http://www.blindtextgenerator.com/lorem-ipsum, Blind Text Generator,,
http://html-ipsum.com/, HTML Ipsum,,
http://getbootstrap.com/, Bootstrap,,
http://www.lifehacker.com.au/2015/09/learn-html5-basics-with-this-epic-cheat-sheet/, Learn HTML5 Basics With This Epic Cheat Sheet,,

http://thenextweb.com/dd/2015/02/18/300-awesome-free-things-massive-list-free-resources-know/, 300 awesome free things: A massive list of free resources you should know,,

http://www.codeproject.com/Articles/33052/Visual-Representation-of-SQL-Joins, SQL Joins Visualized,,
http://stackoverflow.com/questions/38549/difference-between-inner-and-outer-joins, Inner v. Outer JOINs,,

http://www.google.com/webmasters/, Webmaster Tools,,
http://www.google.com/analytics/, Analytics,,
http://adwords.google.com/KeywordPlanner, Adwords Keyword Planner,,
http://www.google.com/trends/, Trends,,
https://www.google.com/insights/consumersurveys/home, Consumer Surveys,,
https://developers.google.com/speed/pagespeed/, PageSpeed Insights,,
https://support.google.com/analytics/answer/1745147, Content Experiments,,
https://www.google.com/business/placesforbusiness/, Places for Business,,
